Root,Sample Word,Sample Word Meaning
ذ ع ن‎, مُذْعِنِينَ,(as) promptly obedient
ذ ق ن‎, لِلْأَذْقَانِ,on their faces
ذ ك ر‎, ذَكَرَ,"to remember, to mention"
ذ ك و‎, ذَكَّيْ,to slaughter
ذ ل ل‎, نَّذِلَّ,to humiliate
ذ م م‎, ذِمَّةً,covenant of protection
ذ ن ب‎, بِذُنُوبِهِمْ,for their sins
ذ ه ب‎, ذَهَبَ,"to go, to take away"
ذ ه ل‎, تَذْهَلُ,to forget
ذ و د‎, تَذُودَ,to keep back
ذ و ق‎, ذَاقُ,to taste
ذ ي ع‎, أَذَاعُ,to spread
ر أ س‎, رُءُوسَكُمْ,your heads
ر أ ف‎, رَأْفَةٌ,pity for them
ر أ ي‎, رَءَا,to see
ر ب ب‎, رَبِّ,the Lord
ر ب ح‎, رَبِحَت,to profit
ر ب ص‎, تَرَبَّصْ,to await
ر ب ط‎, رَّبَطْ,"to strengthen, to make firm"
ر ب ع‎, أَرْبَعِينَ,forty
ر ب و‎, رَبَتْ,"to increase, to swell"
ر ت ع‎, يَرْتَعْ,to enjoy
ر ت ق‎, رَتْقًا,a joined entity
ر ت ل‎, رَتَّلْ,to recite
ر ج ج‎, رُجَّتِ,to shake
ر ج ز‎, وَالرُّجْزَ,And uncleanliness
ر ج س‎, رِجْسٌ,(are an) abomination
ر ج ع‎, رَجَعَ,to return
ر ج ف‎, تَرْجُفُ,to quake
ر ج ل‎, وَلِلرِّجَالِ,and for the men
ر ج م‎, رَجَمْ,to stone
ر ج و‎, يَرْجُوا۟,"to hope, to expect, to desire"
ر ح ب‎, رَحُبَتْ,to be vast
ر ح ق‎, رَحِيقٍ,a pure wine
ر ح ل‎, رِحَالِهِمْ,their saddlebags
ر ح م‎, رَّحِمَ,to have mercy
ر خ و‎, رُخَاءً,gently
ر د أ‎, رِدْءًا,(as) a helper
ر د د‎, رَدَّ,"to turn back, to return"
ر د ف‎, رَدِفَ,to be close behind
ر د م‎, رَدْمًا,a barrier
ر د ي‎, تَرْدَىٰ,to perish
ر ذ ل‎, أَرَاذِلُنَا,(are) the lowest of us
ر ز ق‎, رَزَقَ,to provide
ر س خ‎, وَالرَّاسِخُونَ,And those firm
ر س س‎, الرَّسِّ,(of) Ar-rass
ر س ل‎, أَرْسَلَ,to send
ر س و‎, أَرْسَىٰ,to make
ر ش د‎, يَرْشُدُ,to be led aright
ر ص د‎, رَصَدًا,waiting
ر ص ص‎, مَرْصُوصٌ,joined firmly
ر ض ع‎, يُرْضِعْ,to suckle
ر ض و‎, رَّضِىَ,to be pleased
ر ط ب‎, رُطَبًا,fresh dates
ر ع ب‎, الرُّعْبَ,[the] terror
ر ع د‎, وَرَعْدٌ,and thunder
ر ع ي‎, رَعَ,"to pasture, to observe"
ر غ ب‎, يَرْغَبُ,"to desire, to prefer"
ر غ د‎, رَغَدًا,freely
ر غ م‎, مُرَاغَمًا,place(s) of refuge 
ر ف ت‎, وَرُفَاتًا,and crumbled particles
